ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,smell,move,turn
100,84,100,23,82,100,33,100,86.44589303022485,8.401274806395135,14.407648838370811
100,100,100,30,100,100,30,100,73.19971987147039,8.033325551985289,12.199953311911731
100,100,100,39,100,42,100,75,62.07860605701495,7.724405723805971,10.346434342835828
77,100,68,50,100,39,100,86,52.589452811719866,7.4608181336588855,8.764908801953311
52,100,57,67,100,40,100,100,44.59110195487506,7.238641720968752,7.431850325812512
50,100,54,98,100,100,77,100,37.838332164103065,7.051064782336196,6.30638869401718
100,100,54,100,100,100,63,100,32.12985879204257,6.892496077556737,5.354976465340428
100,100,54,100,73,100,76,100,27.223173654005336,6.7561992681668155,4.537195609000889
100,100,54,100,73,100,91,54,23.076019498142728,6.6410005416150755,3.8460032496904546
100,100,55,100,75,100,100,23,19.5687405635573,6.543576126765481,3.2614567605928855
100,100,57,100,78,100,100,20,16.601112331273384,6.461142009202039,2.766852055212233
100,100,58,100,81,88,100,17,14.088993502455082,4.47827218612475,32.469633116748504
100,100,49,100,100,100,17,100,-18.60725399520885,4.416465166799754,34.23212433413186
100,47,100,100,99,19,100,100,-53.41646370782121,4.516209341449411,-8.902743951303535
100,47,100,100,92,22,93,100,-45.02598143814123,4.7492782933849655,-7.504330239690205
100,49,47,93,90,25,94,100,-37.97120890808151,4.945244196997736,-6.328534818013587
100,51,44,100,100,29,100,100,-32.03418836501214,5.110161434305218,-5.339031394168693
100,100,42,100,100,32,100,100,-27.12040924399588,5.246655298777892,-4.520068207332649
100,100,42,100,100,35,100,100,-22.9697447221796,5.361951535495011,-3.8282907870299354
98,100,41,100,100,38,100,100,-19.461714943029335,5.459396807138074,-3.2436191571715582
100,100,42,100,100,41,100,100,-16.495417991876877,5.541793944670086,-2.749236331979482
100,100,42,58,100,43,100,100,-13.986162350327731,5.611495490268674,-2.331027058387953
100,100,100,56,100,45,100,100,-11.862744268755819,5.670479325867894,-1.9771240447926388
100,100,100,56,100,46,100,100,-10.065223922978987,5.720410446583917,-1.6775373204964978
96,100,100,55,100,47,100,100,-8.543094413555082,5.762691821845692,-1.423849068925847
91,100,100,56,100,52,100,100,-7.253764938030372,5.798506529499156,-1.2089608230050644
87,100,100,56,100,57,100,100,-6.161298364368008,5.828852823211999,-1.0268830607280037
82,100,100,57,100,62,100,100,-5.235356842766691,5.854573421034258,-0.8725594737944462
77,100,100,58,100,67,80,100,-4.450318846359494,5.87638003204557,-0.7417198077265823
73,57,100,59,100,71,79,100,-3.7845383010019304,5.89487393608328,-0.6307563835003194
68,52,100,67,100,76,78,100,-3.219722007874111,5.910563277559053,-0.5366203346456828
63,46,100,79,100,81,76,98,-2.740405876412467,5.923877614544098,-0.45673431273541354
58,40,100,91,100,86,75,89,-2.3335139005123438,5.935180169430213,-0.3889189834187263
54,35,100,100,100,91,85,80,-1.9879865539214734,5.944778151279959,-0.33133109232024793
49,30,100,100,100,96,98,76,-1.6944675089862358,5.952931458083715,-0.28241125149770596
44,24,100,100,100,100,100,74,-1.445039409296669,5.959860016408426,-0.24083990154944246
39,28,100,100,100,100,100,72,-1.2330009341484356,5.965749974051432,-0.20550015569140356
34,33,100,100,100,100,100,70,-1.0526786433932216,5.970758926572411,-0.17544644056553693
29,31,39,100,100,100,100,68,-0.8992681330385608,5.975020329637818,-0.1498780221730911
24,25,24,100,100,100,100,65,-0.7686999023644603,6.445313891600987,-2.794783317060741
19,19,16,100,100,100,100,59,2.0907176081159378,4.049147002173842,-68.48734020917918
100,28,17,27,100,100,100,80,71.73551830536843,6.9259866195935675,-25.37741361577193
100,50,23,21,28,100,100,100,98.93173959046862,8.88143721084635,15.155289931744768
100,45,21,27,43,100,100,79,86.21533185443349,8.661536995956485,11.702555309072249
100,33,21,34,100,100,100,75,76.90226474874731,8.402840687465202,10.150377458124552
39,26,20,41,100,100,100,100,69.06772614016523,8.251881281671256,8.177954356694205
17,20,18,50,100,100,71,100,63.138266524315725,6.684101480690644,-53.22872444918947
100,100,100,21,43,100,100,100,118.06994585352214,9.279720718153392,19.678324308920356
100,15,24,28,71,100,100,57,101.18915993738227,5.670269999420206,-21.7117133368121
100,100,9,26,49,100,100,46,124.19982103529304,9.916661695424807,0.033303505882170015
100,92,16,31,58,100,100,41,126.4080896924471,8.64466915812353,-14.26531838459215
100,100,100,17,51,100,100,94,142.15078879270902,9.948633022019695,23.691798132118173
100,83,25,23,100,100,100,32,120.71405244171041,9.353168123380845,20.119008740285068
100,90,23,56,100,100,29,100,103.09352716659299,8.99704242129425,15.848921194432165
62,100,21,76,100,39,100,100,89.50378465030212,8.752882906952838,12.250630775050354
58,100,20,100,100,37,95,100,79.4768891707069,8.541024699186302,9.912814861784483
56,100,18,100,100,46,100,100,71.72902749205144,6.7258063192236515,-27.378495417991427
41,67,100,26,100,53,100,100,100.80939260453374,8.800260905681492,16.801565434088957
36,100,100,40,100,55,100,100,86.30144812747079,8.3972624479853,14.383574687911796
35,100,100,100,100,100,100,27,74.13622292450259,8.059339525680628,12.356037154083765
36,100,85,100,72,100,100,21,63.87532396008322,7.7743145544467565,10.645887326680537
100,87,77,100,71,100,23,18,54.93217148100564,4.603452486966687,37.22071492180012
100,85,100,82,100,27,18,33,18.0885395552354,5.235792765423206,42.348089925872564
84,29,90,100,33,22,100,100,-24.91219769491454,5.3079945084745965,-4.152032949152421
86,26,100,100,41,25,100,100,-21.338153452309484,5.4072735152136255,-3.556358908718245
88,23,100,100,100,29,100,100,-18.293626499300387,5.491843708352767,-3.0489377498834003
84,20,100,100,100,32,100,100,-15.698156297024866,5.56394010286042,-2.61635938283748
76,48,22,100,100,35,100,100,-13.483923715622439,5.825446563454932,-4.247320619270404
67,46,18,87,100,38,100,100,-9.530772340472481,4.4685896572090975,-40.92179539007874
100,66,46,20,100,100,37,100,32.17171115667634,6.893658643241009,5.361951859446059
100,64,46,23,100,61,35,100,27.860411472371993,6.773900318677,4.6434019120619965
41,61,46,26,100,55,100,100,24.17081414782183,6.671411504106162,4.028469024636969
35,57,46,28,100,51,100,100,21.009797489073435,6.583605485807595,3.5016329148455725
30,53,45,30,100,49,100,100,18.29909183841437,6.508308106622621,3.0498486397357283
24,47,45,36,100,48,100,100,15.972699005037839,6.843686083473274,0.6621165008396375
18,38,44,43,100,49,100,100,16.072075334441024,7.126192871609041,-13.642842770345752
11,17,43,61,100,62,100,100,31.47168612195395,7.064905620406514,-81.77056627756092
100,100,10,21,51,57,100,45,116.41741368703737,9.567150380195482,-3.93043105216044
100,100,100,18,59,61,100,41,124.03051692095147,9.445292136693096,20.67175282015858
100,100,100,31,73,100,53,87,107.43084511382142,8.984190142050595,17.90514085230357
100,100,28,74,84,100,47,93,93.23952279580777,8.589986744327994,15.539920465967963
100,100,25,80,91,61,78,89,81.37145498470602,8.26031819401961,13.561909164117669
100,100,24,90,100,54,92,93,71.37061671905911,8.049183797751642,11.228436119843188
100,100,23,100,100,70,85,100,63.58647398606678,7.8996242773907435,9.26441233101113
100,100,23,100,100,91,83,100,57.2439973815882,7.723444371710784,8.207332896931366
100,100,29,100,71,100,84,100,51.86593436074355,7.440720398909543,8.644322393457259
98,100,33,100,80,100,89,100,45.91271594024204,7.275353220562279,7.652119323373675
96,100,36,100,92,96,97,95,40.829765686034875,7.134160157945413,6.804960947672477
96,100,38,100,100,95,100,85,36.49215118888657,7.013670866357961,6.082025198147761
96,100,41,100,100,97,100,77,32.79865797500207,6.911073832638946,5.466442995833681
99,100,42,100,100,100,100,72,29.31213126763157,6.814225868545321,4.8853552112719285
100,100,43,100,100,100,96,67,26.34003774779984,6.731667715216663,4.390006291299976
100,100,45,100,100,100,84,64,23.818443973769547,6.66162344371582,3.9697406622949245
100,100,46,100,100,100,75,61,21.696582491178106,6.602682846977169,3.6160970818630176
100,100,47,100,100,100,68,59,19.936180727726025,6.5537827979923895,3.322696787954335
100,100,49,100,100,100,63,57,18.51194491205797,6.51422069200161,3.0853241520096617
100,100,50,100,100,100,58,56,17.41380544811932,6.483716818003314,2.902300908019889
100,100,51,100,100,100,54,54,16.65235051025445,6.462565291951512,2.7753917517090727
100,100,52,100,100,100,51,54,16.27087707196847,6.45196880755468,2.711812845328076
100,100,53,100,100,100,48,53,16.37303658895246,6.454806571915347,2.7288394314920765
100,100,54,100,100,94,46,53,17.192866363118924,6.477579621197748,2.8654777271864873
100,100,54,66,100,85,44,54,60.90375871553363,7.69177107543149,10.150626452588938
100,100,53,100,100,66,43,64,51.9957520638506,7.4443264462180725,8.665958677308431
100,93,53,100,100,58,44,79,44.45350356878407,7.234819543577335,7.408917261464012
80,82,52,100,100,54,48,100,38.05399165901571,7.057055323861547,6.342331943169285
76,75,52,100,100,53,53,100,32.61474490802914,6.905965136334142,5.435790818004854
74,69,52,100,100,54,58,100,27.86727983746505,6.774091106596251,4.644546639577506
